"team_roster_id","team_id","valid_from","valid_until","player_id","player_name","nickname","team_main_color","team_secondary_color","position_type_id","position_id","tournament","gameday_from_timestamp","gameday_from_timestamp-2","gamephase_from_timestamp","gamephase_from_timestamp-2"
37047,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","2020-09-13 19:17:57.703",NULL,"b7c4f986-e62a-4a8f-b5f0-8f30ecc35c5d","Oscar Hollywood","Spies","#67556b","#9e82a4",2,5,-1,"(5,109)","(0,0)","(5,,,END_POSTSEASON)",NULL
36609,"b024e975-1c4a-4575-8936-a3754a08806a","2020-07-29 08:12:22.438",NULL,"b7ca8f3f-2fdc-477b-84f4-157f2802e9b5","Leach Herman","Steaks","#8c8d8f","#b2b3b5",1,0,-1,"(1,27)","(0,0)","(1,,27,GAMEDAY)",NULL
36345,"36569151-a2fb-43c1-9df7-2df512424c82","2020-07-29 08:12:22.438","2021-04-25 18:01:12.410797","b7cdb93b-6f9d-468a-ae00-54cbc324ee84","Ruslan Duran","Millennials","#ffd4d8","#ffd4d8",2,6,-1,"(1,27)","(16,113)","(1,,27,GAMEDAY)","(16,,,POSTSEASON_END)"
39115,"36569151-a2fb-43c1-9df7-2df512424c82","2021-04-25 18:01:12.410797",NULL,"b7cdb93b-6f9d-468a-ae00-54cbc324ee84","Ruslan Duran","Millennials","#ffd4d8","#ffd4d8",2,7,-1,"(16,113)","(0,0)","(16,,,POSTSEASON_END)",NULL
36320,"23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7","2020-07-29 08:12:22.438",NULL,"b85161da-7f4c-42a8-b7f6-19789cf6861d","Javier Lotus","Pies","#399d8f","#58c3b4",2,6,-1,"(1,27)","(0,0)","(1,,27,GAMEDAY)",NULL
36352,"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e","2020-07-29 08:12:22.438","2020-07-31 02:14:52.332","b86237bb-ade6-4b1d-9199-a3cc354118d9","Hurley Pacheco","Flowers","#f7d1ff","#f7d1ff",0,2,-1,"(1,27)","(1,69)","(1,,27,GAMEDAY)","(1,,69,GAMEDAY)"
36299,"105bc3ff-1320-4e37-8ef0-8d595cb95dd0","2020-07-29 08:12:22.438","2020-10-11 19:00:07.71","b88d313f-e546-407e-8bc6-94040499daa5","Oliver Loofah","Garages","#2b4075","#5a83ea",3,2,-1,"(1,27)","(8,115)","(1,,27,GAMEDAY)","(8,,,END_POSTSEASON)"
37240,"105bc3ff-1320-4e37-8ef0-8d595cb95dd0","2020-10-11 19:00:07.71","2021-03-21 18:01:10.345839","b88d313f-e546-407e-8bc6-94040499daa5","Oliver Loofah","Garages","#2b4075","#5a83ea",3,0,-1,"(8,115)","(-1,116)","(8,,,END_POSTSEASON)","(13,,,ELECTIONS)"
38329,"105bc3ff-1320-4e37-8ef0-8d595cb95dd0","2021-03-21 18:01:10.345839","2021-04-14 00:20:00.002656","b88d313f-e546-407e-8bc6-94040499daa5","Oliver Loofah","Garages","#2b4075","#5a83ea",0,4,-1,"(-1,116)","(15,31)","(13,,,ELECTIONS)","(15,,31,MIDSEASON)"
38673,"bfd38797-8404-4b38-8b82-341da28b1f83","2021-04-14 00:20:00.002656","2021-04-14 00:20:01.942","b88d313f-e546-407e-8bc6-94040499daa5","Oliver Loofah","Shoe Thieves","#ffce0a","#ffce0a",0,5,-1,"(15,31)","(15,31)","(15,,31,MIDSEASON)","(15,,31,MIDSEASON)"
38674,"105bc3ff-1320-4e37-8ef0-8d595cb95dd0","2021-04-14 00:20:01.942","2021-04-14 00:20:02.938895","b88d313f-e546-407e-8bc6-94040499daa5","Oliver Loofah","Garages","#2b4075","#5a83ea",0,4,-1,"(15,31)","(15,31)","(15,,31,MIDSEASON)","(15,,31,MIDSEASON)"
38677,"bfd38797-8404-4b38-8b82-341da28b1f83","2021-04-14 00:20:02.938895",NULL,"b88d313f-e546-407e-8bc6-94040499daa5","Oliver Loofah","Shoe Thieves","#ffce0a","#ffce0a",0,5,-1,"(15,31)","(0,0)","(15,,31,MIDSEASON)",NULL
36682,"bfd38797-8404-4b38-8b82-341da28b1f83","2020-07-29 08:12:22.438","2021-04-08 14:30:58.06562","b8ab86c6-9054-4832-9b96-508dbd4eb624","Esme Ramsey","Shoe Thieves","#ffce0a","#ffce0a",0,7,-1,"(1,27)","(14,70)","(1,,27,GAMEDAY)","(14,,70,MIDSEASON)"
38426,"bfd38797-8404-4b38-8b82-341da28b1f83","2021-04-08 14:30:58.06562",NULL,"b8ab86c6-9054-4832-9b96-508dbd4eb624","Esme Ramsey","Shoe Thieves","#ffce0a","#ffce0a",0,6,-1,"(14,70)","(0,0)","(14,,70,MIDSEASON)",NULL
36566,"a37f9158-7f82-46bc-908c-c9e2dda7c33b","2020-07-29 08:12:22.438","2021-03-21 18:01:10.345839","b9293beb-d199-4b46-add9-c02f9362d802","Bauer Zimmerman","Jazz Hands","#6388ad","#7ba9d7",2,2,-1,"(1,27)","(-1,116)","(1,,27,GAMEDAY)","(13,,,ELECTIONS)"
38358,"a37f9158-7f82-46bc-908c-c9e2dda7c33b","2021-03-21 18:01:10.345839",NULL,"b9293beb-d199-4b46-add9-c02f9362d802","Bauer Zimmerman","Jazz Hands","#6388ad","#7ba9d7",0,5,-1,"(-1,116)","(0,0)","(13,,,ELECTIONS)",NULL
